# 1
'2015-03-28 11:40:20.123 +03',1,sec,'2015-03-28 11:40:20 +03'
'2015-03-28 11:40:20.123 +03',1,min,'2015-03-28 11:40:00 +03'
'2015-03-28 11:40:20.123 +03',1,hour,'2015-03-28 11:00:00 +03'
'2015-03-28 11:40:20.123 +03',1,day,'2015-03-28 00:00:00 +03'
'2015-03-28 11:40:20.123 +03',1,week,'2015-03-23 00:00:00 +03'
'2015-03-28 11:40:20.123 +03',1,month,'2015-03-01 00:00:00 +03'
'2015-03-28 11:40:20.123 +03',1,year,'2015-01-01 00:00:00 +03'
# 1/2
'2015-04-28 18:40:45',1/2,min,'2015-04-28 18:40:30'
'2015-04-28 18:40:45',1/2,hour,'2015-04-28 18:30:00'
'2015-04-28 18:40:45',1/2,day,'2015-04-28 12:00:00'
# 3
'2015-04-28 11:40:20 +03',3,sec,'2015-04-28 11:40:18 +03'
'2015-04-28 11:40:20 +03',3,min,'2015-04-28 11:39:00 +03'
'2015-04-28 11:40:20 +03',3,hour,'2015-04-28 09:00:00 +03'
'2015-04-28 11:40:20 +03',3,day,'2015-04-27 00:00:00 +03'
'2015-04-28 11:40:20 +03',3,month,'2015-03-01 00:00:00 +03'
'2015-04-28 11:40:20 +03',3,year,'2013-01-01 00:00:00 +03'
